ResinType,ResinPercentage,ResinSupplier,PigmentType,PigmentPercentage,PigmentSupplier,SolventType,SolventPercentage,SolventSupplier,Gloss,Viscosity,HidingPower,IsSuccess,Dispersant_Percentage,Dispersant_Supplier,Thickener_Percentage,Thickener_Supplier,Defoamer_Percentage,Defoamer_Supplier,TotalSolidsContent,SimulatedPVC,SolventToResinRatio,Resin_Pigment_Combo,Resin_Solvent_Combo,Pigment_Solvent_Combo
Acrylic,44.77,SupplierB_Resin,Iron Oxide Red,26.57,SupplierJ_Pigment,Water,23.45,SupplierM_Solvent,27.24,733.65,58.22,0,4.24,SupplierR_Add,0.0,None,0.97,SupplierV_Add,76.55,0.3471,0.52,Acrylic_Iron Oxide Red,Acrylic_Water,Iron Oxide Red_Water
Epoxy,48.9,SupplierF_Resin,Iron Oxide Red,29.31,SupplierJ_Pigment,Xylene,16.8,SupplierP_Solvent,,1117.92,40.22,0,0.0,None,2.41,SupplierU_Add,2.58,SupplierW_Add,83.2,0.3523,0.34,Epoxy_Iron Oxide Red,Epoxy_Xylene,Iron Oxide Red_Xylene
Acrylic,47.57,SupplierA_Resin,Titanium Dioxide,28.42,SupplierH_Pigment,Xylene,,SupplierQ_Solvent,36.97,1976.86,75.41,0,2.13,SupplierR_Add,3.91,SupplierT_Add,0.0,None,82.03,0.3465,0.38,Acrylic_Titanium Dioxide,Acrylic_Xylene,Titanium Dioxide_Xylene
Epoxy,49.43,SupplierF_Resin,Titanium Dioxide,29.14,SupplierG_Pigment,Water,17.3,SupplierM_Solvent,33.44,1302.94,77.78,1,,None,1.54,SupplierT_Add,2.6,SupplierW_Add,82.71,0.3523,0.35,Epoxy_Titanium Dioxide,Epoxy_Water,Titanium Dioxide_Water
Epoxy,45.57,SupplierF_Resin,Iron Oxide Red,35.24,SupplierI_Pigment,Mineral Spirits,16.45,SupplierO_Solvent,41.59,,57.7,0,2.74,SupplierS_Add,0.0,None,0.0,None,83.55,0.4218,0.36,Epoxy_Iron Oxide Red,Epoxy_Mineral Spirits,Iron Oxide Red_Mineral Spirits
Acrylic,47.95,SupplierB_Resin,Iron Oxide Red,34.97,SupplierJ_Pigment,Mineral Spirits,12.22,SupplierO_Solvent,36.97,1661.01,70.41,0,,SupplierS_Add,1.48,SupplierT_Add,0.0,None,87.78,,0.25,Acrylic_Iron Oxide Red,Acrylic_Mineral Spirits,Iron Oxide Red_Mineral Spirits
Acrylic,53.05,SupplierA_Resin,Iron Oxide Red,24.54,SupplierI_Pigment,Water,,SupplierM_Solvent,23.43,774.71,53.11,0,3.62,SupplierS_Add,0.0,None,0.0,None,81.21,0.3022,0.35,Acrylic_Iron Oxide Red,Acrylic_Water,Iron Oxide Red_Water
Epoxy,51.09,SupplierF_Resin,Organic Blue,27.38,SupplierK_Pigment,Mineral Spirits,17.4,SupplierO_Solvent,37.58,1103.48,37.09,1,4.13,SupplierS_Add,0.0,None,0.0,None,82.6,0.3315,0.34,Epoxy_Organic Blue,Epoxy_Mineral Spirits,Organic Blue_Mineral Spirits
Alkyd,,SupplierC_Resin,Organic Blue,28.94,SupplierL_Pigment,Mineral Spirits,17.99,SupplierO_Solvent,30.88,,45.7,1,0.0,None,1.97,SupplierU_Add,,SupplierW_Add,82.02,0.3528,0.37,Alkyd_Organic Blue,Alkyd_Mineral Spirits,Organic Blue_Mineral Spirits
Alkyd,52.99,SupplierC_Resin,Iron Oxide Red,25.83,SupplierJ_Pigment,Water,14.73,SupplierM_Solvent,25.29,1674.14,39.91,0,0.0,None,4.69,SupplierU_Add,1.76,SupplierW_Add,85.27,0.3029,0.28,Alkyd_Iron Oxide Red,Alkyd_Water,Iron Oxide Red_Water
Acrylic,51.53,SupplierB_Resin,Organic Blue,26.21,SupplierK_Pigment,Xylene,17.76,SupplierQ_Solvent,22.85,314.56,42.93,0,3.79,SupplierS_Add,0.0,None,0.72,SupplierV_Add,82.25,0.3187,0.34,Acrylic_Organic Blue,Acrylic_Xylene,Organic Blue_Xylene
Epoxy,51.25,SupplierE_Resin,Iron Oxide Red,27.48,SupplierI_Pigment,Mineral Spirits,16.79,SupplierO_Solvent,41.56,2449.54,58.91,0,0.87,SupplierS_Add,3.6,SupplierT_Add,0.0,None,83.2,0.3303,0.33,Epoxy_Iron Oxide Red,Epoxy_Mineral Spirits,Iron Oxide Red_Mineral Spirits
Acrylic,55.05,SupplierA_Resin,Organic Blue,24.27,SupplierL_Pigment,Water,17.31,SupplierM_Solvent,45.25,1149.16,41.33,0,3.37,SupplierR_Add,0.0,None,0.0,None,82.69,0.2935,0.31,Acrylic_Organic Blue,Acrylic_Water,Organic Blue_Water
Alkyd,48.59,SupplierC_Resin,Iron Oxide Red,32.5,SupplierJ_Pigment,Mineral Spirits,12.66,SupplierN_Solvent,20.69,1402.34,,0,3.5,SupplierS_Add,2.75,SupplierT_Add,0.0,None,,0.3721,0.26,Alkyd_Iron Oxide Red,Alkyd_Mineral Spirits,Iron Oxide Red_Mineral Spirits
Epoxy,,SupplierF_Resin,Titanium Dioxide,30.18,SupplierH_Pigment,Mineral Spirits,,SupplierN_Solvent,36.86,1242.56,66.18,0,3.42,SupplierS_Add,2.61,SupplierT_Add,0.0,None,81.86,0.3687,0.4,Epoxy_Titanium Dioxide,Epoxy_Mineral Spirits,Titanium Dioxide_Mineral Spirits
Epoxy,44.68,SupplierF_Resin,Iron Oxide Red,28.88,SupplierJ_Pigment,Xylene,19.42,SupplierQ_Solvent,36.75,1210.17,56.39,0,2.86,SupplierS_Add,0.0,None,4.16,SupplierV_Add,80.58,0.3584,0.43,Epoxy_Iron Oxide Red,Epoxy_Xylene,Iron Oxide Red_Xylene
Acrylic,46.63,SupplierA_Resin,Titanium Dioxide,28.86,SupplierH_Pigment,Xylene,23.09,SupplierQ_Solvent,40.32,996.22,63.95,1,0.85,SupplierS_Add,0.0,None,0.57,SupplierW_Add,76.91,0.3752,0.5,Acrylic_Titanium Dioxide,Acrylic_Xylene,Titanium Dioxide_Xylene
Acrylic,50.47,SupplierA_Resin,Titanium Dioxide,28.9,SupplierH_Pigment,Xylene,15.32,SupplierP_Solvent,36.72,1030.46,68.8,0,2.83,SupplierS_Add,0.0,None,,SupplierW_Add,84.68,0.3413,0.3,Acrylic_Titanium Dioxide,Acrylic_Xylene,Titanium Dioxide_Xylene
Alkyd,47.4,SupplierC_Resin,Organic Blue,31.98,SupplierL_Pigment,Mineral Spirits,16.91,SupplierN_Solvent,31.71,717.27,36.02,0,0.0,None,0.0,None,3.71,SupplierW_Add,83.09,0.3849,0.36,Alkyd_Organic Blue,Alkyd_Mineral Spirits,Organic Blue_Mineral Spirits
Epoxy,45.11,SupplierF_Resin,Organic Blue,,SupplierK_Pigment,Mineral Spirits,21.92,SupplierO_Solvent,38.98,1894.83,31.78,0,,None,4.83,SupplierU_Add,0.0,None,78.08,0.3604,0.49,Epoxy_Organic Blue,Epoxy_Mineral Spirits,Organic Blue_Mineral Spirits
Alkyd,46.55,SupplierC_Resin,Organic Blue,31.81,SupplierK_Pigment,Xylene,17.81,SupplierQ_Solvent,,579.11,43.31,0,0.0,None,0.0,None,3.83,SupplierW_Add,82.19,0.387,0.38,Alkyd_Organic Blue,Alkyd_Xylene,Organic Blue_Xylene
Alkyd,46.64,SupplierD_Resin,Organic Blue,33.99,SupplierK_Pigment,Water,13.96,SupplierM_Solvent,33.74,723.54,47.78,0,1.8,SupplierS_Add,0.0,None,3.61,SupplierW_Add,86.04,0.395,0.3,Alkyd_Organic Blue,Alkyd_Water,Organic Blue_Water
Alkyd,46.88,SupplierD_Resin,Iron Oxide Red,33.03,SupplierI_Pigment,Mineral Spirits,14.14,SupplierN_Solvent,28.44,895.05,68.05,1,1.63,SupplierS_Add,0.0,None,4.32,SupplierV_Add,85.86,0.3847,0.3,Alkyd_Iron Oxide Red,Alkyd_Mineral Spirits,Iron Oxide Red_Mineral Spirits
Acrylic,49.07,SupplierA_Resin,Titanium Dioxide,28.55,SupplierG_Pigment,Xylene,14.17,SupplierQ_Solvent,34.75,,75.81,1,3.28,SupplierR_Add,0.0,None,4.93,SupplierW_Add,85.83,0.3326,0.29,Acrylic_Titanium Dioxide,Acrylic_Xylene,Titanium Dioxide_Xylene
Alkyd,50.94,SupplierD_Resin,Organic Blue,23.72,SupplierL_Pigment,Xylene,21.91,SupplierQ_Solvent,,1132.34,30.85,0,0.0,None,3.43,SupplierT_Add,0.0,None,78.09,0.3038,0.43,Alkyd_Organic Blue,Alkyd_Xylene,Organic Blue_Xylene
Epoxy,50.76,SupplierE_Resin,Titanium Dioxide,29.53,SupplierG_Pigment,Mineral Spirits,16.0,SupplierO_Solvent,32.26,1460.23,83.54,0,3.71,SupplierR_Add,0.0,None,0.0,None,84.0,0.3515,0.32,Epoxy_Titanium Dioxide,Epoxy_Mineral Spirits,Titanium Dioxide_Mineral Spirits
Alkyd,54.65,SupplierD_Resin,Iron Oxide Red,21.23,SupplierJ_Pigment,Xylene,21.32,SupplierP_Solvent,18.94,116.0,40.78,0,2.8,SupplierR_Add,0.0,None,0.0,None,78.68,0.2698,,Alkyd_Iron Oxide Red,Alkyd_Xylene,Iron Oxide Red_Xylene
Alkyd,48.98,SupplierD_Resin,Organic Blue,32.17,SupplierK_Pigment,Water,14.57,SupplierM_Solvent,31.93,2206.33,33.51,0,0.0,None,4.28,SupplierT_Add,0.0,None,85.43,0.3766,0.3,Alkyd_Organic Blue,Alkyd_Water,Organic Blue_Water
Alkyd,46.16,SupplierD_Resin,Titanium Dioxide,28.53,SupplierG_Pigment,Xylene,20.92,SupplierQ_Solvent,11.92,690.15,74.76,0,0.0,None,0.97,SupplierU_Add,3.42,SupplierV_Add,79.08,0.3608,0.45,Alkyd_Titanium Dioxide,Alkyd_Xylene,Titanium Dioxide_Xylene
Alkyd,46.49,SupplierC_Resin,Iron Oxide Red,30.46,SupplierJ_Pigment,Water,20.0,SupplierM_Solvent,24.6,,43.66,0,0.0,None,3.05,SupplierT_Add,0.0,None,80.0,0.3808,0.43,Alkyd_Iron Oxide Red,Alkyd_Water,Iron Oxide Red_Water
Alkyd,47.54,SupplierC_Resin,Iron Oxide Red,26.85,SupplierJ_Pigment,Water,24.31,SupplierM_Solvent,8.59,612.08,51.32,0,1.3,SupplierS_Add,0.0,None,0.0,None,75.69,0.3547,0.51,Alkyd_Iron Oxide Red,Alkyd_Water,Iron Oxide Red_Water
Alkyd,49.19,SupplierC_Resin,Iron Oxide Red,26.32,SupplierI_Pigment,Xylene,20.76,SupplierQ_Solvent,20.94,719.66,45.29,0,0.0,None,1.31,SupplierT_Add,2.43,SupplierW_Add,79.25,0.3321,0.42,Alkyd_Iron Oxide Red,Alkyd_Xylene,Iron Oxide Red_Xylene
Alkyd,45.26,SupplierC_Resin,Organic Blue,29.79,SupplierL_Pigment,Water,24.22,SupplierM_Solvent,13.25,491.74,31.05,0,0.0,None,0.73,SupplierU_Add,0.0,None,75.78,0.3931,0.54,Alkyd_Organic Blue,Alkyd_Water,Organic Blue_Water
Epoxy,47.01,SupplierF_Resin,Organic Blue,26.75,SupplierK_Pigment,Mineral Spirits,22.16,SupplierN_Solvent,52.53,948.44,26.26,0,0.0,None,1.57,SupplierU_Add,2.51,SupplierV_Add,77.84,0.3437,0.47,Epoxy_Organic Blue,Epoxy_Mineral Spirits,Organic Blue_Mineral Spirits
Epoxy,58.55,SupplierF_Resin,Organic Blue,22.75,SupplierK_Pigment,Xylene,16.61,SupplierP_Solvent,52.79,,23.85,0,0.0,None,2.09,SupplierU_Add,0.0,None,83.39,0.2728,0.28,Epoxy_Organic Blue,Epoxy_Xylene,Organic Blue_Xylene
Acrylic,49.53,SupplierB_Resin,Iron Oxide Red,30.39,SupplierI_Pigment,Mineral Spirits,16.13,SupplierO_Solvent,32.32,1376.12,68.7,0,3.1,SupplierS_Add,0.85,SupplierU_Add,0.0,None,83.87,0.3623,0.33,Acrylic_Iron Oxide Red,Acrylic_Mineral Spirits,Iron Oxide Red_Mineral Spirits
Epoxy,51.69,SupplierF_Resin,Titanium Dioxide,32.37,SupplierG_Pigment,Xylene,14.49,SupplierQ_Solvent,34.79,2164.1,97.52,0,0.0,None,1.45,SupplierT_Add,0.0,None,85.51,0.3786,0.28,Epoxy_Titanium Dioxide,Epoxy_Xylene,Titanium Dioxide_Xylene
Epoxy,43.38,SupplierE_Resin,Organic Blue,35.11,SupplierK_Pigment,Water,,SupplierM_Solvent,33.17,1470.31,51.3,0,0.0,None,4.33,SupplierU_Add,0.0,None,82.82,0.4239,0.4,Epoxy_Organic Blue,Epoxy_Water,Organic Blue_Water
Acrylic,46.35,SupplierA_Resin,Iron Oxide Red,30.11,SupplierJ_Pigment,Water,19.13,SupplierM_Solvent,32.65,734.27,63.78,0,3.85,SupplierR_Add,0.0,None,0.57,SupplierV_Add,80.88,0.3723,0.41,Acrylic_Iron Oxide Red,Acrylic_Water,Iron Oxide Red_Water
Epoxy,46.24,SupplierF_Resin,Titanium Dioxide,31.72,SupplierG_Pigment,Xylene,20.02,SupplierQ_Solvent,19.62,1225.57,76.79,0,0.0,None,0.69,SupplierT_Add,1.33,SupplierV_Add,79.98,0.3966,,Epoxy_Titanium Dioxide,Epoxy_Xylene,Titanium Dioxide_Xylene
Epoxy,46.92,SupplierE_Resin,Titanium Dioxide,39.31,SupplierG_Pigment,Water,12.44,SupplierM_Solvent,18.12,2212.04,98.08,0,0.0,None,1.33,SupplierT_Add,0.0,None,87.56,0.4489,0.27,Epoxy_Titanium Dioxide,Epoxy_Water,Titanium Dioxide_Water
Epoxy,,SupplierF_Resin,Organic Blue,32.6,SupplierL_Pigment,Mineral Spirits,11.2,SupplierN_Solvent,41.64,519.78,55.24,0,4.14,SupplierR_Add,0.0,None,4.31,SupplierW_Add,88.8,0.3671,0.23,Epoxy_Organic Blue,Epoxy_Mineral Spirits,Organic Blue_Mineral Spirits
Acrylic,47.07,SupplierA_Resin,Iron Oxide Red,28.03,SupplierI_Pigment,Xylene,20.11,SupplierP_Solvent,24.75,943.32,43.24,0,1.32,SupplierR_Add,0.0,None,3.47,SupplierW_Add,79.89,,0.43,Acrylic_Iron Oxide Red,Acrylic_Xylene,Iron Oxide Red_Xylene
Acrylic,49.8,SupplierB_Resin,Titanium Dioxide,,SupplierH_Pigment,Mineral Spirits,19.37,SupplierO_Solvent,22.56,1315.31,56.24,0,0.51,SupplierR_Add,1.54,SupplierU_Add,0.0,None,80.63,,0.39,Acrylic_Titanium Dioxide,Acrylic_Mineral Spirits,Titanium Dioxide_Mineral Spirits
Alkyd,49.04,SupplierD_Resin,Iron Oxide Red,24.8,SupplierI_Pigment,Water,22.92,SupplierM_Solvent,12.12,785.06,45.63,0,1.33,SupplierS_Add,1.91,SupplierT_Add,0.0,None,77.08,0.3217,0.47,Alkyd_Iron Oxide Red,Alkyd_Water,Iron Oxide Red_Water
Epoxy,42.45,SupplierE_Resin,Organic Blue,28.69,SupplierK_Pigment,Water,22.77,SupplierM_Solvent,50.36,620.54,36.8,1,4.33,SupplierR_Add,0.0,None,1.76,SupplierW_Add,77.23,0.3715,0.54,Epoxy_Organic Blue,Epoxy_Water,Organic Blue_Water
Acrylic,47.85,SupplierB_Resin,Organic Blue,28.42,SupplierK_Pigment,Water,22.21,SupplierM_Solvent,33.76,673.28,35.5,0,0.99,SupplierR_Add,0.0,None,0.53,SupplierV_Add,77.79,0.3653,0.46,Acrylic_Organic Blue,Acrylic_Water,Organic Blue_Water
Epoxy,47.67,SupplierF_Resin,Titanium Dioxide,26.18,SupplierG_Pigment,Water,23.76,SupplierM_Solvent,41.8,1643.01,65.01,0,0.0,None,2.39,SupplierU_Add,0.0,None,76.24,0.3434,0.5,Epoxy_Titanium Dioxide,Epoxy_Water,Titanium Dioxide_Water
Alkyd,58.89,SupplierD_Resin,Iron Oxide Red,24.15,SupplierI_Pigment,Xylene,13.23,SupplierP_Solvent,30.65,1204.36,46.17,0,0.0,None,1.31,SupplierT_Add,2.42,SupplierW_Add,86.77,0.2783,,Alkyd_Iron Oxide Red,Alkyd_Xylene,Iron Oxide Red_Xylene
Epoxy,53.47,SupplierF_Resin,Iron Oxide Red,23.59,SupplierI_Pigment,Water,,SupplierM_Solvent,58.18,1246.85,47.42,0,4.12,SupplierR_Add,0.0,None,0.0,None,81.18,0.2906,0.35,Epoxy_Iron Oxide Red,Epoxy_Water,Iron Oxide Red_Water
Alkyd,54.25,SupplierD_Resin,Iron Oxide Red,29.63,SupplierJ_Pigment,Xylene,11.12,SupplierP_Solvent,26.62,1438.23,38.71,0,0.0,None,1.59,SupplierU_Add,3.41,SupplierW_Add,88.88,0.3334,0.2,Alkyd_Iron Oxide Red,Alkyd_Xylene,Iron Oxide Red_Xylene
Alkyd,42.12,SupplierC_Resin,Titanium Dioxide,32.38,SupplierH_Pigment,Xylene,18.59,SupplierP_Solvent,4.82,1458.4,80.71,0,0.0,None,4.55,SupplierU_Add,2.36,SupplierV_Add,81.41,0.3977,0.44,Alkyd_Titanium Dioxide,Alkyd_Xylene,Titanium Dioxide_Xylene
Epoxy,52.3,SupplierF_Resin,Organic Blue,33.64,SupplierL_Pigment,Water,11.7,SupplierM_Solvent,36.7,,53.01,1,0.0,None,2.36,SupplierU_Add,0.0,None,88.3,0.381,0.22,Epoxy_Organic Blue,Epoxy_Water,Organic Blue_Water
Acrylic,51.28,SupplierA_Resin,Organic Blue,25.82,SupplierL_Pigment,Xylene,18.62,SupplierQ_Solvent,48.55,1629.52,35.46,1,0.0,None,1.2,SupplierU_Add,,SupplierV_Add,81.38,0.3173,0.36,Acrylic_Organic Blue,Acrylic_Xylene,Organic Blue_Xylene
Epoxy,50.33,SupplierE_Resin,Organic Blue,,SupplierK_Pigment,Water,16.15,SupplierM_Solvent,41.31,897.8,41.4,0,3.8,SupplierR_Add,0.0,None,0.0,None,83.85,0.3544,0.32,Epoxy_Organic Blue,Epoxy_Water,Organic Blue_Water
Epoxy,48.45,SupplierF_Resin,Organic Blue,24.62,SupplierL_Pigment,Mineral Spirits,25.59,SupplierN_Solvent,36.8,272.54,33.75,0,0.0,None,0.0,None,1.34,SupplierW_Add,74.41,0.3309,0.53,Epoxy_Organic Blue,Epoxy_Mineral Spirits,Organic Blue_Mineral Spirits
Acrylic,45.38,SupplierA_Resin,Titanium Dioxide,32.92,SupplierG_Pigment,Mineral Spirits,16.86,SupplierN_Solvent,24.92,1455.32,90.67,0,1.97,SupplierR_Add,0.0,None,2.86,SupplierV_Add,83.13,0.396,0.37,Acrylic_Titanium Dioxide,Acrylic_Mineral Spirits,Titanium Dioxide_Mineral Spirits
Acrylic,49.83,SupplierA_Resin,Iron Oxide Red,30.6,SupplierI_Pigment,Water,15.25,SupplierM_Solvent,34.81,870.48,59.8,0,4.32,SupplierR_Add,0.0,None,0.0,None,84.75,0.3611,0.31,Acrylic_Iron Oxide Red,Acrylic_Water,Iron Oxide Red_Water
Acrylic,39.82,SupplierB_Resin,Iron Oxide Red,30.76,SupplierI_Pigment,Mineral Spirits,21.98,SupplierN_Solvent,24.19,769.44,59.48,0,3.23,SupplierR_Add,0.0,None,4.22,SupplierV_Add,78.03,0.3942,,Acrylic_Iron Oxide Red,Acrylic_Mineral Spirits,Iron Oxide Red_Mineral Spirits
Epoxy,47.46,SupplierE_Resin,Iron Oxide Red,29.92,SupplierJ_Pigment,Water,,SupplierM_Solvent,34.6,2136.0,43.64,1,0.0,None,4.02,SupplierT_Add,4.86,SupplierV_Add,86.26,0.3469,0.29,Epoxy_Iron Oxide Red,Epoxy_Water,Iron Oxide Red_Water
Alkyd,51.5,SupplierC_Resin,Titanium Dioxide,31.35,SupplierG_Pigment,Xylene,10.84,SupplierP_Solvent,16.95,1270.75,90.26,0,4.35,SupplierS_Add,0.0,None,1.96,SupplierW_Add,89.16,0.3516,0.21,Alkyd_Titanium Dioxide,Alkyd_Xylene,Titanium Dioxide_Xylene
Acrylic,51.23,SupplierA_Resin,Organic Blue,31.46,SupplierK_Pigment,Mineral Spirits,13.12,SupplierO_Solvent,26.42,1931.06,33.36,0,2.23,SupplierR_Add,1.96,SupplierU_Add,0.0,None,86.88,,0.26,Acrylic_Organic Blue,Acrylic_Mineral Spirits,Organic Blue_Mineral Spirits
Alkyd,50.1,SupplierC_Resin,Iron Oxide Red,31.74,SupplierJ_Pigment,Mineral Spirits,14.53,SupplierN_Solvent,36.59,763.42,61.38,0,0.0,None,0.0,None,3.63,SupplierW_Add,85.47,0.3714,0.29,Alkyd_Iron Oxide Red,Alkyd_Mineral Spirits,Iron Oxide Red_Mineral Spirits
Alkyd,47.62,SupplierC_Resin,Iron Oxide Red,27.13,SupplierJ_Pigment,Xylene,20.73,SupplierQ_Solvent,30.14,691.69,60.66,0,4.52,SupplierR_Add,0.0,None,0.0,None,79.27,0.3422,0.44,Alkyd_Iron Oxide Red,Alkyd_Xylene,Iron Oxide Red_Xylene
Epoxy,47.94,SupplierE_Resin,Iron Oxide Red,34.55,SupplierI_Pigment,Water,13.68,SupplierM_Solvent,45.91,1678.72,70.58,0,2.48,SupplierS_Add,1.36,SupplierU_Add,0.0,None,86.33,0.4002,0.29,Epoxy_Iron Oxide Red,Epoxy_Water,Iron Oxide Red_Water
Alkyd,44.12,SupplierD_Resin,Iron Oxide Red,27.89,SupplierI_Pigment,Mineral Spirits,23.12,SupplierN_Solvent,25.26,100.0,50.24,0,0.0,None,0.0,None,4.87,SupplierW_Add,76.88,0.3628,0.52,Alkyd_Iron Oxide Red,Alkyd_Mineral Spirits,Iron Oxide Red_Mineral Spirits
Alkyd,,SupplierD_Resin,Organic Blue,26.68,SupplierL_Pigment,Water,19.38,SupplierM_Solvent,26.17,2021.26,25.3,0,3.89,SupplierR_Add,4.59,SupplierT_Add,0.0,None,80.62,0.3309,0.43,Alkyd_Organic Blue,Alkyd_Water,Organic Blue_Water
Acrylic,47.8,SupplierA_Resin,Organic Blue,21.45,SupplierL_Pigment,Water,23.07,SupplierM_Solvent,46.48,1924.62,21.38,0,0.0,None,4.7,SupplierT_Add,2.98,SupplierW_Add,76.93,0.2788,0.48,Acrylic_Organic Blue,Acrylic_Water,Organic Blue_Water
Acrylic,47.41,SupplierA_Resin,Titanium Dioxide,25.85,SupplierG_Pigment,Mineral Spirits,25.17,SupplierN_Solvent,38.22,923.31,75.63,0,0.0,None,0.0,None,1.57,SupplierV_Add,74.83,0.3454,0.53,Acrylic_Titanium Dioxide,Acrylic_Mineral Spirits,Titanium Dioxide_Mineral Spirits
Alkyd,47.34,SupplierD_Resin,Iron Oxide Red,29.31,SupplierI_Pigment,Water,18.69,SupplierM_Solvent,19.26,747.2,56.51,0,0.0,None,1.4,SupplierU_Add,,SupplierV_Add,81.3,0.3605,0.39,Alkyd_Iron Oxide Red,Alkyd_Water,Iron Oxide Red_Water
Acrylic,47.74,SupplierB_Resin,Iron Oxide Red,32.66,SupplierI_Pigment,Xylene,18.03,SupplierQ_Solvent,26.22,809.19,53.86,0,0.0,None,0.0,None,1.57,SupplierV_Add,81.97,0.3984,0.38,Acrylic_Iron Oxide Red,Acrylic_Xylene,Iron Oxide Red_Xylene
Alkyd,46.15,SupplierD_Resin,Organic Blue,35.75,SupplierK_Pigment,Xylene,15.89,SupplierQ_Solvent,28.73,1151.45,46.21,0,0.0,None,2.21,SupplierU_Add,0.0,None,84.11,0.425,0.34,Alkyd_Organic Blue,Alkyd_Xylene,Organic Blue_Xylene
Acrylic,,SupplierA_Resin,Iron Oxide Red,27.98,SupplierI_Pigment,Water,11.77,SupplierM_Solvent,36.6,1003.62,50.45,1,0.0,None,0.0,None,3.23,SupplierW_Add,88.23,0.3171,0.21,Acrylic_Iron Oxide Red,Acrylic_Water,Iron Oxide Red_Water
Epoxy,54.98,SupplierE_Resin,Titanium Dioxide,25.62,SupplierG_Pigment,Water,12.84,SupplierM_Solvent,37.09,1796.89,62.25,0,0.0,None,1.91,SupplierT_Add,4.65,SupplierV_Add,87.16,0.2939,0.23,Epoxy_Titanium Dioxide,Epoxy_Water,Titanium Dioxide_Water
Epoxy,45.11,SupplierE_Resin,Iron Oxide Red,29.52,SupplierI_Pigment,Xylene,19.53,SupplierP_Solvent,36.89,1979.11,36.27,0,0.0,None,4.47,SupplierU_Add,1.38,SupplierV_Add,80.48,0.3668,0.43,Epoxy_Iron Oxide Red,Epoxy_Xylene,Iron Oxide Red_Xylene
Alkyd,51.01,SupplierD_Resin,Iron Oxide Red,28.85,SupplierI_Pigment,Water,17.12,SupplierM_Solvent,31.63,,55.03,0,3.02,SupplierR_Add,0.0,None,0.0,None,82.88,0.3481,0.34,Alkyd_Iron Oxide Red,Alkyd_Water,Iron Oxide Red_Water
Epoxy,41.7,SupplierE_Resin,Organic Blue,33.97,SupplierK_Pigment,Water,20.65,SupplierM_Solvent,31.09,1221.06,46.14,0,0.0,None,0.55,SupplierT_Add,3.12,SupplierV_Add,79.34,0.4282,0.5,Epoxy_Organic Blue,Epoxy_Water,Organic Blue_Water
Acrylic,50.9,SupplierB_Resin,Organic Blue,30.24,SupplierK_Pigment,Mineral Spirits,17.96,SupplierN_Solvent,38.34,686.22,41.64,0,0.0,None,0.0,None,0.9,SupplierV_Add,82.04,0.3686,0.35,Acrylic_Organic Blue,Acrylic_Mineral Spirits,Organic Blue_Mineral Spirits
Epoxy,44.5,SupplierF_Resin,Iron Oxide Red,28.66,SupplierI_Pigment,Mineral Spirits,22.11,SupplierN_Solvent,47.6,684.14,53.6,1,4.73,SupplierR_Add,0.0,None,0.0,None,77.89,0.368,0.5,Epoxy_Iron Oxide Red,Epoxy_Mineral Spirits,Iron Oxide Red_Mineral Spirits
Epoxy,55.86,SupplierE_Resin,Organic Blue,22.62,SupplierL_Pigment,Water,15.17,SupplierM_Solvent,48.31,1940.07,,0,2.36,SupplierR_Add,3.99,SupplierT_Add,0.0,None,84.83,0.2667,0.27,Epoxy_Organic Blue,Epoxy_Water,Organic Blue_Water
Epoxy,45.49,SupplierF_Resin,Titanium Dioxide,30.3,SupplierG_Pigment,Water,20.28,SupplierM_Solvent,43.95,1300.27,,0,3.93,SupplierS_Add,0.0,None,0.0,None,79.72,0.3801,0.45,Epoxy_Titanium Dioxide,Epoxy_Water,Titanium Dioxide_Water
Acrylic,,SupplierB_Resin,Titanium Dioxide,31.23,SupplierH_Pigment,Xylene,20.59,SupplierP_Solvent,17.85,823.23,67.11,0,0.97,SupplierR_Add,0.0,None,0.0,None,79.41,0.3933,0.44,Acrylic_Titanium Dioxide,Acrylic_Xylene,Titanium Dioxide_Xylene
Alkyd,45.94,SupplierC_Resin,Organic Blue,24.75,SupplierL_Pigment,Mineral Spirits,23.56,SupplierN_Solvent,19.28,599.72,27.36,0,0.0,None,2.14,SupplierU_Add,,SupplierW_Add,76.44,0.3238,0.51,Alkyd_Organic Blue,Alkyd_Mineral Spirits,Organic Blue_Mineral Spirits
Acrylic,,SupplierA_Resin,Iron Oxide Red,31.74,SupplierJ_Pigment,Xylene,22.04,SupplierP_Solvent,28.82,1435.19,67.09,1,4.92,SupplierR_Add,0.79,SupplierT_Add,0.0,None,77.96,0.4071,0.54,Acrylic_Iron Oxide Red,Acrylic_Xylene,Iron Oxide Red_Xylene
Epoxy,48.28,SupplierE_Resin,Iron Oxide Red,28.17,SupplierI_Pigment,Mineral Spirits,19.94,SupplierN_Solvent,48.42,1187.19,43.91,0,3.61,SupplierR_Add,0.0,None,0.0,None,80.06,0.3519,0.41,Epoxy_Iron Oxide Red,Epoxy_Mineral Spirits,Iron Oxide Red_Mineral Spirits
